1,"Kuzante, Marandinho","$155,331.00",M,24-02-1934,Single,ON
2,"Maruanto, Mazindara","$176,784.00",F,24-02-2934,Married,ON
3,"Kuzante, Marandinho","$71,233.00",M,24-02-3934,Divorced,ON
4,"Maruanto, Mazindara","$44,868.00",M,24-02-4934,Single,ON
5,"Kuzante, Marandinho","$208,434.00",M,24-02-5934,Married,ON
6,"Maruanto, Mazindara","$153,447.00",N,24-02-6934,Divorced,ON
7,"Kuzante, Marandinho","$192,530.00",M,24-02-7934,Single,ON
8,"Maruanto, Mazindara","$208,149.00",F,24-02-8934,Married,SK
9,"Kuzante, Marandinho","$216,408.00",F,24-02-9934,Divorced,ON
10,"Maruanto, Mazindara","$176,345.00",N,24-02-10934,Single,ON
11,"Kuzante, Marandinho","$84,107.00",M,24-02-11934,Married,MB
12,"Maruanto, Mazindara","$60,299.00",N,24-02-12934,Divorced,ON
13,"Kuzante, Marandinho","$186,982.00",F,24-02-13934,Single,ON
14,"Maruanto, Mazindara","$65,429.00",N,24-02-14934,Married,SK
15,"Kuzante, Marandinho","$85,676.00",M,24-02-15934,Divorced,ON
16,"Maruanto, Mazindara","$207,773.00",F,24-02-16934,Single,ON
17,"Kuzante, Marandinho","$55,275.00",M,24-02-17934,Married,ON
18,"Maruanto, Mazindara","$141,860.00",M,24-02-18934,Divorced,ON
19,"Kuzante, Marandinho","$114,006.00",M,24-02-19934,Single,ON
20,"Maruanto, Mazindara","$137,170.00",N,24-02-20934,Married,ON
21,"Kuzante, Marandinho","$22,475.00",M,24-02-21934,Divorced,ON
22,"Maruanto, Mazindara","$185,655.00",F,24-02-22934,Single,MB
23,"Kuzante, Marandinho","$100,001.00",F,24-02-23934,Married,ON
24,"Maruanto, Mazindara","$145,009.00",N,24-02-24934,Divorced,ON
25,"Kuzante, Marandinho","$175,942.00",M,24-02-25934,Single,ON
26,"Maruanto, Mazindara","$51,520.00",N,24-02-26934,Married,ON
27,"Kuzante, Marandinho","$42,184.00",F,24-02-27934,Divorced,ON
28,"Maruanto, Mazindara","$72,447.00",N,24-02-28934,Single,ON
29,"Kuzante, Marandinho","$245,412.00",M,24-02-29934,Married,SK
30,"Maruanto, Mazindara","$199,050.00",F,24-02-30934,Divorced,ON
31,"Kuzante, Marandinho","$77,405.00",M,24-02-31934,Single,ON
32,"Maruanto, Mazindara","$235,263.00",M,24-02-32934,Married,ON
33,"Kuzante, Marandinho","$72,641.00",M,24-02-33934,Divorced,ON
34,"Maruanto, Mazindara","$95,585.00",N,24-02-34934,Single,ON
35,"Kuzante, Marandinho","$133,244.00",M,24-02-35934,Married,ON
36,"Maruanto, Mazindara","$38,026.00",F,24-02-36934,Divorced,ON
37,"Kuzante, Marandinho","$111,453.00",F,24-02-37934,Single,MB
38,"Maruanto, Mazindara","$70,341.00",N,24-02-38934,Married,ON
39,"Kuzante, Marandinho","$32,782.00",M,24-02-39934,Divorced,ON
40,"Maruanto, Mazindara","$144,108.00",N,24-02-40934,Single,ON
41,"Kuzante, Marandinho","$34,460.00",F,24-02-41934,Married,ON
42,"Maruanto, Mazindara","$249,744.00",N,24-02-42934,Divorced,ON
43,"Kuzante, Marandinho","$13,704.00",M,24-02-43934,Single,ON
44,"Maruanto, Mazindara","$137,172.00",F,24-02-44934,Married,ON
45,"Kuzante, Marandinho","$152,502.00",M,24-02-45934,Divorced,ON
46,"Maruanto, Mazindara","$133,837.00",M,24-02-46934,Single,ON
47,"Kuzante, Marandinho","$105,271.00",M,24-02-47934,Married,ON
48,"Maruanto, Mazindara","$119,076.00",N,24-02-48934,Divorced,ON
49,"Kuzante, Marandinho","$170,086.00",M,24-02-49934,Single,ON
50,"Maruanto, Mazindara","$38,549.00",F,24-02-50934,Married,ON
51,"Kuzante, Marandinho","$115,113.00",F,24-02-51934,Divorced,SK
52,"Maruanto, Mazindara","$88,019.00",N,24-02-52934,Single,ON
53,"Kuzante, Marandinho","$206,899.00",M,24-02-53934,Married,ON
54,"Maruanto, Mazindara","$57,500.00",N,24-02-54934,Divorced,ON
55,"Kuzante, Marandinho","$76,392.00",F,24-02-55934,Single,ON
56,"Maruanto, Mazindara","$53,157.00",N,24-02-56934,Married,ON
57,"Kuzante, Marandinho","$181,651.00",M,24-02-57934,Divorced,ON
58,"Maruanto, Mazindara","$217,194.00",F,24-02-58934,Single,ON
59,"Kuzante, Marandinho","$141,374.00",M,24-02-59934,Married,MB
60,"Maruanto, Mazindara","$58,191.00",M,24-02-60934,Divorced,ON
